,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
LUAD_90T,0.45271608881561104,1.5721403407865218,-0.8817746171948241,-0.03044069604886569,0.5490507864579951,0.18518327022265016,0.07672842310748301,-0.2520762056194302,-0.1007458937350213,0.13411168650571242
LUAD_47T,-0.7884794634598488,0.8468868319301527,1.2387541942279288,0.561244504597397,0.20828832644836806,0.5338584559894191,-0.010984822396672025,-0.26570623444904934,-0.38493361088474126,0.12766350494261114
LUAD_19T,-3.2417361050936124,-1.91466034563967,0.12360526925502022,0.29441595393996184,1.3329345413971725,-0.1341155459611221,0.7670374795623031,0.7899923552097085,0.4218882997234726,-0.01708141950382594
LUAD_56T,-0.7745920571921071,0.6738646044726216,-1.3867123314239624,0.24763275418764769,-0.000515498474138797,0.06997344171725432,-0.22375390513503157,-0.3512357913951866,0.0777812318639744,-0.08616215107283579
LUAD_28T,-2.150876478813965,0.4907530925351318,-0.15590634704895534,-0.7761816031388342,0.15438634931419834,0.3137018842181165,-0.36206906922890847,0.18761861175785846,-0.14256922647320008,-0.7438262723731174
LUAD_30N,2.003000029355389,0.7544709871017159,0.1725948603878838,0.16826565224953532,0.38653461820142254,-0.024140657301122945,0.09615913982954616,-0.3415071997950831,0.03346707268725957,0.03866023030803179
LUAD_37T,-1.8412145343596733,0.9248201593582329,0.33360817890646577,0.9190572491489479,-0.30100883305909143,0.4321969790807459,0.368418368410855,0.39765476335119576,-0.3964330496663576,0.10920380513867736
LUAD_54T,-2.0553709693438273,0.3671931586626397,0.3041948416304037,0.3149884121281752,0.023880372827214384,0.6602749011557005,0.04530496521455797,0.37411615644446117,-0.1740662807169618,-0.38303455982841544
LUAD_51T,-1.1678642679944444,0.3157314933202158,1.0505422331972103,0.48822563799200563,-0.5083645986986224,0.21234159760542176,-0.3405286808623363,-0.4743662447881202,0.11973550687912904,0.07973802221135935
LUAD_57N,2.915387142707939,-1.848492042142414,-0.08084375889975647,0.3199252785635665,0.08838615579140577,-0.18330207365153567,-0.07538240466122798,0.2674541731043039,-0.3655056308164017,0.052747350038861225
LUAD_35N,2.24751314996352,0.2634108124603189,0.01593922217464205,-0.3620015479369804,0.029439514250178784,-0.08419327136140399,-0.2706357887894889,0.16843362384889074,0.025900182907324463,0.037254312581925214
LUAD_19N,1.840397699541395,0.17874483436880564,-0.21887686876652868,0.4935085786533303,0.20048667069709014,0.015480670583596872,0.18170932687341929,0.06621490594846392,0.6663115768720057,0.10286240658412406
LUAD_50N,1.8359085022690866,0.037377616167072705,-0.28784550211765675,-0.20827531599661506,-0.05570532307967743,-0.0005584914883676676,-0.08983240130743798,0.1545277910751402,0.28685347992874444,-0.25590096047230737
LUAD_91T,-1.6817136278980132,1.130724291478515,-0.4865817540212543,-0.09177983550360232,0.09119397991782106,-0.03301825694203498,-0.20713185390671035,-0.44542368618527467,0.10077201650873928,0.1404527273831518
LUAD_23N,2.617691732889767,-0.1774144619199968,0.17515981980470824,-0.33110343203888587,0.1305742875124592,-0.1359175388629914,-0.16376447499217542,0.06632591332585643,0.09003594015325661,-0.6506526949969953
LUAD_49N,1.9596708678054398,-0.3475971262043087,0.39441528437838724,0.1872688189729797,0.378441630630717,0.06347420595719078,-0.339138834064397,0.26064784724403756,0.026833463338097288,0.14236375157392608
LUAD_26N,1.5885225564086962,1.7002934127783478,0.4016869217344102,-0.20422638188833203,-0.11684068503397775,0.05814842680630983,0.45122932828782675,-0.33139146634194117,-0.2638426320001081,0.1282771168285387
LUAD_54N,2.068420336123715,-0.8431692786078834,0.046571620433808046,0.11076375443666955,0.24537383365284285,0.06323348491642387,-0.26060280171275635,0.23480256325817664,0.23299968935415125,-0.011490449313402222
LUAD_24N,1.7332103394186038,0.8011441736156367,-0.14575496799087595,-0.052320865775493185,-0.24062646679926253,-0.04735253114211419,0.4779410997186767,-0.024009241358120333,0.5368904814652141,0.11337659699858366
LUAD_61T,-1.3176918209493533,0.02575450444520249,-0.14671602258302477,0.2219067346759104,-0.33397241806365596,0.3608022248561927,0.11125998176425178,-0.1224246614478094,-0.4406665865713555,0.1597060884871528
LUAD_42N,2.8328488726059575,-0.39223802742670527,0.20523374419707455,0.4473993121960869,0.15163050066285294,-0.14498526436152093,0.1527793055136895,0.29445744469555335,-0.44249671343987723,0.02748498735324979
LUAD_52T,-1.2579210419749647,0.5569874079057181,0.08425074674811801,-0.10813258260580114,-0.6969638608527019,0.23431657999057756,0.4003639410715731,0.26071445472286664,-0.09240393247013008,0.100854097947789
LUAD_27T,-1.3497415674270121,-0.7188160494448214,0.45527290292267897,-0.6477628276249034,-0.4760252227835646,0.05407982912946268,0.19701326104267003,-0.3134116004572687,0.8341845271376828,-0.6264103684882851
LUAD_41T,-0.9103446411844547,1.6340096434085576,-0.7924243491230765,-0.6611622705780344,-0.3024854205037291,0.0780275211214074,0.2978679485377953,-0.6031377498218169,-0.16461166153432022,0.2188292016760847
LUAD_60T,-1.4839771643894382,-0.1916107806928439,1.9695447520417926,0.9792906334543663,-0.23043660097378957,-0.03538634133882663,-0.43822547775705556,-0.5504800519151731,-0.09407005053314445,-0.04712364701228459
LUAD_37N,2.1214830814480283,1.0099714640438138,0.21638623255772635,0.3669201315883654,0.26684276692834347,0.14228880083460943,0.4860560290412713,-0.20724769562165693,0.0907811042571209,0.10792758698078428
LUAD_48N,2.3841201424196297,-0.41994593627162985,0.1532785608820548,-0.3586295096539147,0.2552946647565803,-0.0667940825933186,-0.28465574568612556,0.2425634796247102,0.11223934182859525,0.1114070432422669
LUAD_52N,1.862122866330449,-1.4049004006319714,-0.036703068369171046,0.72536658324606,-0.20138815279759556,-0.08619760219719352,-0.12319753623247587,0.08339893533202004,0.5165201047207953,0.12033593129665208
LUAD_18T,-2.06673432436541,1.396584477051113,0.5495132614170526,-1.0310568559513902,0.3596194301220854,-0.0586496359065056,0.14531284056904128,-0.05835763410293657,-0.3134613086922166,-0.005264804509709701
LUAD_20N,2.406576354637608,0.6776571302521984,0.6692635298046066,-0.484002028295641,0.39097531329160423,0.00022674417439485644,0.12136948592788267,-0.20207676020990425,-0.07934767011386976,0.13942035761540852
