id,LUAD_17T,LUAD_18T,LUAD_19T,LUAD_20T,LUAD_22T,LUAD_23T,LUAD_24T,LUAD_25T,LUAD_26T,LUAD_27T,LUAD_28T,LUAD_29T,LUAD_30T,LUAD_33T,LUAD_34T,LUAD_35T,LUAD_37T,LUAD_38T,LUAD_39T,LUAD_40T,LUAD_41T,LUAD_42T,LUAD_43T,LUAD_44T,LUAD_45T,LUAD_46T,LUAD_47T,LUAD_48T,LUAD_49T,LUAD_50T,LUAD_51T,LUAD_52T,LUAD_53T,LUAD_54T,LUAD_55T,LUAD_56T,LUAD_57T,LUAD_58T,LUAD_60T,LUAD_61T,LUAD_90T,LUAD_91T,LUAD_17N,LUAD_18N,LUAD_19N,LUAD_20N,LUAD_22N,LUAD_23N,LUAD_24N,LUAD_25N,LUAD_26N,LUAD_27N,LUAD_28N,LUAD_29N,LUAD_30N,LUAD_33N,LUAD_34N,LUAD_35N,LUAD_37N,LUAD_38N,LUAD_39N,LUAD_40N,LUAD_41N,LUAD_42N,LUAD_44N,LUAD_45N,LUAD_46N,LUAD_47N,LUAD_48N,LUAD_49N,LUAD_50N,LUAD_51N,LUAD_52N,LUAD_53N,LUAD_54N,LUAD_55N,LUAD_56N,LUAD_57N,LUAD_60N,LUAD_61N,LUAD_90N,LUAD_91N
P29323,98465822.29,133668606.2,0.0,0.0,0.0,0.0,0.0,0.0,0,56801983.92,92339892.14,0.0,0.0,0.0,0,0.0,119692281.9,0.0,0.0,0.0,136066060.8,0.0,0.0,0.0,0.0,0.0,0.0,123129703.7,142178796.1,0.0,0.0,117565020.6,0.0,0.0,0,0.0,0.0,0.0,84544544.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125022633.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P29350,82237622.29,93032506.2,0.0,112714606.3,0.0,59785302.87,79064185.97,97811127.79,127824342,176652067.8,40965292.14,0.0,0.0,0.0,0,63628706.64,0.0,117408240.8,127899356.4,135440367.9,133337770.8,70120146.11,125445312.5,127263175.1,0.0,127207911.9,0.0,124420503.7,129728376.1,0.0,0.0,116385620.6,0.0,54973120.35,0,0.0,0.0,0.0,84402844.36,140520490.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P29353,82265222.29,94283806.2,126073824.9,119586706.3,100142798.5,0.0,175696886.0,137828127.8,0,96959983.92,40154992.14,0.0,69581528.32,239397796.6,122489018,138547573.3,240640663.8,0.0,0.0,269108525.8,267843691.6,72477146.11,125256512.5,254782150.2,106214392.0,128923611.9,126714297.6,124898603.7,131246996.1,157076811.6,238995312.2,117100120.6,0.0,94282120.35,105117863,137812900.9,180590855.3,0.0,0.0,242410380.8,125009008.4,0.0,0.0,0.0,0.0,0.0,0.0,78689688.8,0.0,107442779.6,122947289.8,0.0,85841849.66,107666013.4,0.0,122034191.5,0.0,83300853.43,125201150,0.0,0,0.0,0.0,107522030.2,127580518.3,0.0,0.0,121878273.9,125566833.6,113677823.4,136587961.9,120505930.5,246618383.0,83143929.89,0.0,98643361.88,106576883.0,97643107.55,85109742.76,116117777.9,0.0,0.0
P29372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P29374,0.0,0.0,0.0,0.0,0.0,52378302.87,78395685.97,0.0,0,0.0,0.0,0.0,0.0,0.0,0,65690036.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264421842.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,65063082.52,84505144.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75137649.66,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243967076.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P29375,87977822.29,0.0,0.0,0.0,204916997.0,45505002.87,91837885.97,0.0,0,0.0,46478592.14,183325326.2,0.0,0.0,0,68783936.64,120551181.9,118286490.8,0.0,0.0,0.0,58022846.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116028206.1,0.0,0.0,112090540.7,0,0.0,99409627.64,0.0,0.0,122354390.4,0.0,0.0,0.0,0.0,0.0,120842632.7,113707024.5,61327188.8,96777481.81,0.0,0.0,0.0,0.0,100150413.4,80416128.51,0.0,0.0,82295953.43,118721450,0.0,122511768,0.0,0.0,169452960.4,0.0,0.0,0.0,0.0,247413767.2,0.0,42755930.97,116172830.5,0.0,0.0,0.0,0.0,0.0,89724307.55,0.0,0.0,0.0,0.0
P29401,81591222.29,95649506.2,102748324.9,0.0,96087498.53,42917602.87,77346685.97,90080227.79,0,53792983.92,43215592.14,0.0,0.0,0.0,0,71343836.64,0.0,0.0,130379056.4,138270967.9,138555760.8,0.0,124406602.5,0.0,0.0,128056011.9,0.0,0.0,0.0,44399955.78,0.0,119274920.6,0.0,57690420.35,84101363,78495200.94,96588627.64,49239582.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124157777.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358918971.0,0.0,0.0,0.0
P29474,354380789.2,93012506.2,199205459.8,113481106.3,96684598.53,126020605.7,166298571.9,188152855.6,0,49504683.92,0.0,0.0,71430628.32,0.0,236944736,0.0,0.0,118460090.8,130884656.4,0.0,134738360.8,0.0,0.0,125916795.1,221743184.0,0.0,248590845.2,0.0,0.0,0.0,343862618.3,0.0,173029458.0,58886420.35,171896626,160980101.9,182153955.3,102256765.0,177441488.7,0.0,0.0,0.0,221190580.6,112290549.3,0.0,255508865.4,113059524.5,140632033.2,306175965.4,330184438.8,0.0,0.0,92165849.66,0.0,183436417.0,0.0,117454365.3,88842753.43,352000950,133944603.7,253920416,406789802.8,274089757.0,364865820.8,260023716.6,0.0,259730507.2,378327321.7,505438874.4,119342423.4,116365461.9,0.0,124051241.5,158780859.8,77871715.94,199090623.8,90484483.05,184389115.1,91131742.76,0.0,254585831.4,238338054.6
P29536,0.0,0.0,0.0,0.0,337826797.0,0.0,118923886.0,202625255.6,0,180855651.8,127203684.3,112810213.1,292167384.9,0.0,545204972,145117673.3,436306363.8,248352981.6,400160169.2,0.0,300529021.6,162174492.2,127967512.5,409550925.3,0.0,0.0,578430192.8,535347614.8,129738756.1,303686911.6,425990218.3,121493820.6,186614258.0,62967120.35,562076589,189066801.9,121730627.6,0.0,144667344.4,256582280.8,146389608.4,0.0,380566880.6,498902297.2,348508918.8,282415365.4,710754222.5,986277377.6,197846263.6,456596338.8,547982869.4,246521380.7,445531699.4,246032026.8,1081842876.0,236476091.5,792165026.5,209272506.8,547462300,418400111.1,547290072,457489002.8,492738915.5,805096351.0,434757374.9,729020982.0,271873147.2,490561821.7,551705134.4,498449193.6,213996892.9,569905522.0,251072313.0,322600789.7,718112347.7,648296723.8,979005766.0,409180215.0,376055742.8,432153033.7,259803831.4,156018777.3
P29590,3210426701.0,1145575731.0,1506494724.0,1824547139.0,1333293487.0,13063881044.0,1375436588.0,3316013678.0,668483910,6211849278.0,4666734282.0,982859278.6,2081872983.0,1301774038.0,2010754398,962277956.3,1014471073.0,1697353617.0,1263672695.0,1154854975.0,1364650456.0,1580857315.0,1104051988.0,1669558236.0,2427573420.0,1072930683.0,1163209071.0,1482661030.0,1028465273.0,570863180.5,1732986461.0,1243978744.0,1718964153.0,5556962484.0,2083907767,2139164207.0,814437138.0,507538495.1,3971574532.0,614443461.6,1723368084.0,1004285472.0,1364677082.0,2156227493.0,1562247035.0,1943559154.0,1952156696.0,10650202732.0,434429327.2,2504292814.0,920888128.6,1279996884.0,1983524497.0,644613367.0,1971484727.0,1733332915.0,1601372222.0,1324724934.0,1419316600,788058318.5,1256856356,1190957383.0,1322925258.0,1927733772.0,1807335341.0,1750855310.0,1175236715.0,1862952513.0,2269002237.0,2373609757.0,1347091386.0,1504329574.0,1469655974.0,1318609969.0,3720632155.0,1310537033.0,1280698781.0,1837238560.0,1860078728.0,786034647.4,1512939077.0,778726186.5
